column_a,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
(Ex Fuel),2083.1226835893535,2209.177600716956,2363.2896585246,2193.4249128064366,2149.5214863945666,2178.095024848733,2845.6403768685286,2985.9755181203905,2563.0031485224363,2383.896017144925,2006.1154961169773,1874.6391294692426,2197.3365024451487,2453.0716378018656,2596.994185934529,2596.8848071444227,2872.6302200068135,2153.9355835735037,2383.82822304522,2380.862163282348,2406.096092537861
Pilots,650.686747626876,677.5096971139709,744.2352991448427,720.41147807255,733.0863317777385,800.2656021989392,948.15005937122,1031.151022630285,733.8237263432605,652.664978151354,541.1208921429629,542.5740864115281,566.4752997465913,600.0782926796345,649.7912934851099,640.8503999561691,607.381883057503,619.2411209034777,791.2014386942075,925.8228420966017,931.6949401368512
Salaries and Wages,495.2743749742212,516.7770573985129,582.5005207860397,539.4593369511842,545.891709667694,584.8086866331575,629.2960903774234,654.4039878753165,439.566120528304,392.858136881071,349.5222929936306,352.6439164014114,368.3319111858132,382.03857939282676,401.36312732335614,409.14820293666446,428.8639854643692,413.2939713275934,542.0467752266873,620.8744754381635,648.324442914269
Pilot Training,28.221173392727724,22.304062285578254,25.686769898032765,20.009821080066985,23.17446000593003,22.80781673448273,24.922040594378046,25.90814616538454,20.077669781970272,14.325475242840046,9.376917705313499,6.723912453426111,10.788557169041352,9.75418798342355,11.928051971636826,8.464223098838483,9.728532749995518,2.8087962740521886,3.7439612784501555,19.28550639835919,29.450135405628163
Benefits and Payroll Taxes,92.01121894021082,97.17558427737247,91.00936346592457,114.45587439090417,113.92884461575645,141.27617738726704,236.1781580495167,299.31181929798197,235.06476115140626,208.51123048234018,145.76676471210615,143.2501788930836,143.3627816689911,161.2721210566812,189.4757985741369,176.97035941266708,125.46807480590273,174.94799473527922,189.80788993052303,199.72327363156788,205.47669935181165
Per Diem/ Personnel,35.17998031971623,41.252993152507244,45.038644994845555,46.486445650394735,50.09131748835795,51.3729214440318,57.753770349901785,51.52706929160204,39.11517488158005,36.97013554510284,36.45491673191273,39.95607866360698,43.99204972274568,47.01340424670293,47.024315615980015,46.26761450799912,43.32129003723559,28.190358566552955,55.60281225854715,85.93958662851115,48.443662465142545
Purchased Goods,643.5334947823678,783.5716186128576,756.0344413167608,650.1328364034702,631.2492680897079,864.2983803927928,961.1312714319007,873.2239011651152,1021.4604036710962,1353.6725208049209,1896.5206212836194,2200.2837614429886,2236.40989814674,3644.1543715662588,1843.532024136764,2477.5224085031778,3124.256064980007,3165.863121985723,2951.0988514716432,2775.422095138832,1836.1615969666755
Fuel/Oil,570.9992752470347,676.7647347121673,659.1522137412735,561.5643217788746,534.0590561284873,760.5307926115233,876.8851749508939,777.1876745616995,929.7359414268942,1256.44187146873,1793.5993609412362,2091.1195005798604,2136.595765523535,3522.8763110649156,1746.6630345954782,2370.718332237563,3013.474954127892,3065.7522981955494,2851.0010107418198,2676.0089034562416,1719.4633182650791
Insurance,13.351953003010966,10.90557741587666,7.160140371867939,4.404376676193953,3.8221289806576353,4.588844192911613,9.35235431856266,19.749396743121736,11.052528316459204,6.498928442205461,3.9253443934231966,4.187331902188665,3.041934876814527,1.5874515732778984,2.2040068348976005,2.759204470742932,2.382420971472629,9.276274178214422,2.1866354739657172,1.9700515952470206,2.1633079811073004
Other (inc. Tax),59.18226653232222,95.90130648481369,89.72208720361932,84.16413794840156,93.36808298056296,99.17874358835778,74.8937421624441,76.28682986029393,80.67193392774281,90.73172089398535,98.99591594895995,104.97692896093962,96.77219774639028,119.69060892806523,94.66498270638832,104.0448717948718,108.39868988064286,90.8345496119592,97.91120525585748,97.44314008734317,114.53497072048907
Maintenance,532.3605145156823,651.548037472169,774.9082615360785,711.1267800707622,738.9690218190244,734.0066040236674,1031.9217409639223,1116.6050886241774,1147.613071195224,1155.3897965431825,938.7286539560276,834.179682680682,1108.0660254542925,1261.7054305422444,1333.503930616434,1322.9860563225948,1577.6050874707885,867.1051833554798,842.1198082355492,770.4475194358351,814.8680670753428
Labor,81.29901657504139,120.91916037696218,129.4300197097486,125.87602775084676,121.33639967409748,120.53758708637992,173.8411514687441,215.74904513864274,155.10599402683874,101.27195301845306,75.71629599847641,84.3388358378365,85.71295993153069,96.839945465099,223.8291385662674,391.1016053035283,119.28600885765003,79.881346867436,87.53236140317999,83.56097107557652,102.40318534847013
Materials,121.91169798424399,128.11953005755254,175.13366841686386,126.12029563969227,166.82073118772533,155.73759943997055,203.78200219729,210.42677411397088,287.1383948452677,224.00846113167637,126.14004274499015,123.0710390603795,198.16916766990366,239.40821533186647,269.8408767599724,169.89384724961647,318.3174051030105,144.27729419817373,117.35883024299278,82.13310385181528,73.526165255974
Third Party,51.548791194546084,44.574517244759356,59.6633852695001,68.41263645635286,70.3879685160223,75.31572431933003,97.08859073808969,112.33195999648396,121.71795342927348,393.68476717971555,474.7709334066911,312.7791348977225,459.8039240959911,527.7439559401196,384.0392483813895,349.630698005698,629.0871599935449,374.5292745728322,406.1020542021822,368.02969698077897,406.4434076014946
